account_name,risk,final_reason,action
Acme Corp,Low,"Low engagement, moderate support issues, moderate satisfaction. Negative customer sentiment detected.",Maintain regular engagement and ensure continued satisfaction.
BrightPath Solutions,Medium,"Low engagement, high support issues. Negative customer sentiment detected.",Monitor the account closely and engage with the customer to improve satisfaction.
NovaTech Industries,High,"Low engagement, high support issues, low satisfaction. Negative customer sentiment detected.",Schedule an urgent call with the customer and address their concerns immediately.
Meridian Health,Low,"Good engagement, moderate support issues. Negative customer sentiment detected.",Maintain regular engagement and ensure continued satisfaction.
Pinnacle Media Group,Low,"Good engagement, moderate support issues, moderate satisfaction. Negative customer sentiment detected.",Maintain regular engagement and ensure continued satisfaction.
Vanguard Retail,Medium,"Good engagement, moderate support issues, low satisfaction. Negative customer sentiment detected.",Monitor the account closely and engage with the customer to improve satisfaction.
Atlas Financial,Low,"Low engagement, moderate support issues. Negative customer sentiment detected.",Maintain regular engagement and ensure continued satisfaction.
Zenith Publishing,Medium,"Good engagement, moderate support issues, low satisfaction. Negative customer sentiment detected.",Monitor the account closely and engage with the customer to improve satisfaction.
Crescent Labs,Medium,"Good engagement, moderate satisfaction. Neutral customer sentiment detected.",Monitor the account closely and engage with the customer to improve satisfaction.
TerraFirma Manufacturing,Medium,"Good engagement, moderate support issues, low satisfaction. Negative customer sentiment detected.",Monitor the account closely and engage with the customer to improve satisfaction.
Skyline Travel,Low,Good engagement. Neutral customer sentiment detected.,Maintain regular engagement and ensure continued satisfaction.
Quantum Commerce,Low,"Good engagement, moderate support issues, moderate satisfaction. Neutral customer sentiment detected.",Maintain regular engagement and ensure continued satisfaction.
Evergreen Media,Medium,"Good engagement, low satisfaction. Neutral customer sentiment detected.",Monitor the account closely and engage with the customer to improve satisfaction.
Northstar Logistics,Low,"Good engagement, moderate support issues. Negative customer sentiment detected.",Maintain regular engagement and ensure continued satisfaction.
Pacific Rim Trading,Medium,"Good engagement, moderate satisfaction. Neutral customer sentiment detected.",Monitor the account closely and engage with the customer to improve satisfaction.
Coral Bay Resorts,Low,Good engagement. Positive customer sentiment detected.,Maintain regular engagement and ensure continued satisfaction.
Falcon Aerospace,Medium,"Good engagement, low satisfaction. Positive customer sentiment detected.",Monitor the account closely and engage with the customer to improve satisfaction.
Jade River Tech,Low,Good engagement. Positive customer sentiment detected.,Maintain regular engagement and ensure continued satisfaction.
Mosaic Digital,Low,Good engagement. Positive customer sentiment detected.,Maintain regular engagement and ensure continued satisfaction.
Beacon Insurance,Low,Good engagement. Positive customer sentiment detected.,Maintain regular engagement and ensure continued satisfaction.
Golden Gate Ventures,Low,Good engagement.,Maintain regular engagement and ensure continued satisfaction.
Cedar Hill Partners,Medium,"Good engagement, moderate satisfaction.",Monitor the account closely and engage with the customer to improve satisfaction.
Arctic Fox Games,Low,"Good engagement, moderate satisfaction.",Maintain regular engagement and ensure continued satisfaction.
Sapphire Networks,Low,Good engagement.,Maintain regular engagement and ensure continued satisfaction.
Obsidian Data,Low,Good engagement.,Maintain regular engagement and ensure continued satisfaction.
Daybreak Solar,Medium,"Good engagement, low satisfaction.",Monitor the account closely and engage with the customer to improve satisfaction.
Bluebell Organics,Low,Good engagement.,Maintain regular engagement and ensure continued satisfaction.
Cloudbreak Surf Co,Medium,"Good engagement, low satisfaction.",Monitor the account closely and engage with the customer to improve satisfaction.
Goldrush Fintech,Low,Good engagement.,Maintain regular engagement and ensure continued satisfaction.
